Organism,network,molnet_string,modeled_lability,activity,log2_change,N,P,C,NOSC
Porites lobata,2393,Organic compounds;Benzenoids;Phenol ethers;nan,-2.904878811881651,depletolite,-10.119583708047651,1,0,18,-1.1111111111111107
Porites lobata,3585,Organic compounds;Organoheterocyclic compounds;Pyrrolidines;nan,-2.815123337815911,depletolite,-2.44346342803428,1,0,16,-1.625
Porites lobata,4021,Organic compounds;Phenylpropanoids and polyketides;Macrolides and analogues;nan,-4.019763447588985,depletolite,-7.806390157209905,5,0,22,-0.2727272727272725
Porites lobata,5082,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-3.164325910644968,depletolite,-12.474744676441107,1,0,14,-1.7142857142857144
Porites lobata,5520,"Organic compounds;Organoheterocyclic compounds;Diazanaphthalenes;Amino acids, peptides, and analogues",-391.46595834852025,depletolite,-3.7764859416165995,0,0,16,-0.75
Porites lobata,6163,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Beta hydroxy acids and derivatives,-2.6774212316003743,depletolite,-8.829333518890042,1,0,21,-1.2380952380952381
Turf,21,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-2.1236619796550764,depletolite,-8.198083537476974,1,0,15,-1.2000000000000002
Turf,77,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-758.1007857734256,depletolite,-2.292131211056023,0,0,20,-0.5999999999999996
Turf,80,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-262.88375137186955,depletolite,-1.2442649477599494,1.8,0.4,17.6,-0.7257142857142858
Turf,280,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-5.624029699737856,depletolite,-6.207410402610138,1,0,19,-1.0526315789473681
Turf,336,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-2.2460135281151326,depletolite,-0.16466129626976267,2,0,13,-0.9230769230769234
Turf,427,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-3.504620748428997,depletolite,-10.692886912427863,1,0,21,-1.1428571428571432
Turf,490,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-4.5551624694361905,depletolite,-6.556300567875836,6,1.5,12,-1.411111111111111
Turf,887,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Oxosteroids,-233.1718500057393,depletolite,-13.286963815707928,1,0,18,-1.1547987616099071
Turf,918,Organic compounds;Organoheterocyclic compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,-4.011636166889275,depletolite,-11.59909367405564,2.5,0,18,-0.7472619969040246
